"Time","value"
1706346566290,51844
1706346566385,51842
1706346566478,51840
1706346566572,51841
1706346566666,51842
1706346566760,51842
1706346566854,51844
1706346566948,51844
1706346567042,51842
1706346567135,51844
1706346567231,51843
1706346567323,51845
1706346567418,51842
1706346567512,51841
1706346567605,51842
1706346567699,51840
1706346567793,51841
1706346567887,51843
1706346567981,51843
1706346568075,51843
1706346568169,51842
1706346568263,51846
1706346568357,51846
1706346568451,51845
1706346568545,51843
1706346568638,51846
1706346568732,51844
1706346568826,51843
1706346568920,51842
1706346569014,51844
1706346569108,51846
1706346569202,51846
1706346569296,51841
1706346569390,51842
1706346569483,51844
1706346569577,51844
1706346569671,51842
1706346569765,51842
1706346569859,51844
1706346569953,51842
1706346570047,51842
1706346570141,51845
1706346570235,51842
1706346570329,51842
1706346570423,51843
1706346570517,51843
1706346570841,51840
1706346570935,51840
1706346571029,51841
1706346571122,51843
1706346571216,51843
1706346571310,51841
1706346571404,51842
1706346571498,51846
1706346571592,51847
1706346571686,51843
1706346571780,51846
1706346571874,51847
1706346571968,51843
1706346572062,51839
1706346572156,51839
1706346572249,51840
1706346572343,51841
1706346572451,51840
1706346572549,51841
1706346572633,51841
1706346572719,51843
1706346572813,51844
1706346572907,51843
1706346573001,51845
1706346573095,51845
1706346573189,51845
1706346573283,51844
1706346573376,51842
1706346573471,51841
1706346573564,51841
1706346573658,51841
1706346573752,51839
1706346573846,51841
1706346573940,51842
1706346574034,51840
1706346574128,51846
1706346574222,51841
1706346574316,51838
1706346574410,51842
1706346574504,51846
1706346574598,51846
1706346574692,51843
1706346574785,51843
1706346574880,51844
1706346574973,51844
1706346575067,51847
1706346575161,51846
1706346575255,51843
1706346575625,51845
1706346575720,51843
1706346575813,51845
1706346575907,51845
1706346576001,51844
1706346576095,51843
1706346576189,51843
1706346576283,51843
1706346576377,51841
1706346576471,51842
1706346576565,51842
1706346576659,51840
1706346576752,51843
1706346576846,51846
1706346576940,51845
1706346577035,51845
1706346577128,51845
1706346577222,51844
1706346577316,51843
1706346577411,51843
1706346577504,51843
1706346577598,51841
1706346577691,51841
1706346577785,51843
1706346577879,51844
1706346577973,51843
1706346578067,51843
1706346578161,51841
1706346578255,51841
