"Time","value"
1706401860283,52055
1706401860377,52054
1706401860471,52053
1706401860565,52055
1706401860659,52056
1706401860753,52056
1706401860847,52053
1706401860941,52055
1706401861035,52055
1706401861128,52049
1706401861222,52049
1706401861316,52052
1706401861410,52054
1706401861504,52049
1706401861598,52049
1706401861692,52052
1706401861786,52056
1706401861880,52055
1706401861973,52052
1706401862068,52053
1706401862161,52057
1706401862255,52053
1706401862349,52052
1706401862443,52052
1706401862537,52051
1706401862838,52057
1706401862932,52056
1706401863026,52052
1706401863120,52053
1706401863214,52055
1706401863308,52053
1706401863401,52049
1706401863495,52047
1706401863590,52051
1706401863683,52056
1706401863777,52055
1706401863871,52053
1706401863965,52052
1706401864059,52052
1706401864153,52056
1706401864247,52055
1706401864340,52052
1706401864434,52052
1706401864529,52053
1706401864622,52054
1706401864716,52054
1706401864810,52051
1706401864904,52053
1706401864998,52052
1706401865092,52054
1706401865186,52055
1706401865280,52053
1706401865374,52054
1706401865467,52053
1706401865561,52053
1706401865655,52056
1706401865749,52053
1706401865843,52052
1706401865937,52054
1706401866031,52054
1706401866125,52050
1706401866219,52051
1706401866313,52051
1706401866407,52051
1706401866501,52055
1706401866595,52057
1706401866689,52055
1706401866783,52054
1706401866877,52055
1706401866970,52055
1706401867064,52050
1706401867158,52052
1706401867252,52052
1706401867346,52052
1706401867440,52054
1706401867534,52056
1706401867881,52055
1706401867975,52053
1706401868069,52057
1706401868163,52056
1706401868257,52054
1706401868351,52053
1706401868444,52055
1706401868538,52055
1706401868632,52053
1706401868726,52053
1706401868820,52055
1706401868914,52054
1706401869008,52056
1706401869102,52056
1706401869196,52055
1706401869291,52056
1706401869383,52056
1706401869477,52056
1706401869571,52054
1706401869665,52055
1706401869759,52052
1706401869853,52051
1706401869948,52048
1706401870041,52046
1706401870135,52047
1706401870229,52051
1706401870323,52054
1706401870417,52051
1706401870511,52051
1706401870604,52054
1706401870698,52055
1706401870793,52052
1706401870886,52053
1706401870980,52052
1706401871074,52049
1706401871168,52048
1706401871262,52048
1706401871356,52049
1706401871450,52050
1706401871544,52054
1706401871638,52048
1706401871732,52052
1706401871826,52050
1706401871919,52048
1706401872013,52048
1706401872107,52051
1706401872201,52053
1706401872295,52056
1706401872389,52057
1706401872483,52056
1706401872577,52054
1706401872924,52054
1706401873018,52052
1706401873112,52053
1706401873206,52055
1706401873300,52054
1706401873394,52054
1706401873488,52058
1706401873581,52056
1706401873675,52051
1706401873769,52051
1706401873863,52055
1706401873957,52058
1706401874051,52057
1706401874145,52055
1706401874239,52054
1706401874333,52054
1706401874427,52055
1706401874521,52056
1706401874615,52056
1706401874708,52056
1706401874802,52056
1706401874897,52056
1706401874990,52077
1706401875084,52163
1706401875178,52320
1706401875272,52756
1706401875366,53214
1706401875460,53391
1706401875554,54026
1706401875648,55227
