"Time","value"
1706346474089,52980
1706346474182,52977
1706346474276,52978
1706346474370,52977
1706346474464,52976
1706346474558,52977
1706346474652,52981
1706346474746,52980
1706346474840,52986
1706346474934,52986
1706346475028,52980
1706346475122,52981
1706346475215,52978
1706346475309,52980
1706346475403,52984
1706346475497,52980
1706346475591,52978
1706346475685,52978
1706346475779,52985
1706346475873,52988
1706346475967,52983
1706346476061,52983
1706346476154,52994
1706346476248,53000
1706346476342,52993
1706346476436,52992
1706346476530,52992
1706346476624,52988
1706346476718,52988
1706346476812,52983
1706346476906,52982
1706346477000,52979
1706346477093,52979
1706346477188,52976
1706346477281,52980
1706346477375,52985
1706346477470,52985
1706346477563,52984
1706346477657,52979
1706346477751,52975
1706346499513,52988
1706346499607,52989
1706346499701,52986
1706346499795,52986
1706346499889,52990
1706346499983,52987
1706346500077,52982
1706346500170,52982
1706346500265,52981
1706346500358,52980
1706346500452,52976
1706346500546,52976
1706346500640,52978
1706346500734,52978
1706346500828,52981
1706346500922,52976
1706346501016,52975
1706346501110,52983
1706346501204,53001
1706346501298,53024
1706346501392,53014
1706346501486,52979
1706346501579,52956
1706346501673,52904
1706346501767,52833
1706346501861,52811
1706346501955,52928
1706346502049,53019
1706346502143,53032
1706346502237,53007
1706346502538,52965
1706346502632,52964
1706346502725,52973
1706346502819,52979
1706346502914,52983
1706346503007,52979
1706346503101,52999
1706346503195,52987
1706346503289,52965
1706346503383,52973
1706346503477,52988
1706346503571,52988
1706346503664,52977
1706346503759,52978
1706346503852,52985
1706346503948,52985
1706346504043,52979
1706346504135,52980
1706346504228,52981
1706346504322,52975
1706346504416,52976
1706346504510,52982
1706346504604,52982
1706346504698,52983
1706346504792,52983
1706346504886,52986
1706346504981,52986
1706346505074,52987
1706346505167,52984
1706346505261,52983
1706346505357,52984
1706346505449,52985
1706346505543,52987
1706346505637,52986
1706346505731,52983
1706346505825,52981
1706346505919,52972
1706346506013,52972
1706346506106,52976
1706346506201,52982
1706346506294,52989
1706346506388,52991
1706346506483,52985
1706346506576,52993
1706346506670,53509
1706346506764,54700
1706346506858,54383
1706346506952,53305
1706346507046,53424
1706346507140,53697
1706346507234,55388
1706346507328,57605
1706346507421,58497
1706346507515,58493
1706346507610,59512
1706346507703,60802
1706346507797,62601
1706346507891,61622
1706346507985,61033
1706346508380,61419
1706346508472,61460
1706346508566,60938
1706346508660,60393
1706346508754,60538
1706346508848,61099
1706346508942,61106
1706346509036,61028
1706346509130,62165
1706346509224,63069
1706346509318,62677
1706346509412,60027
1706346509506,54763
1706346509600,50615
1706346509693,48278
1706346509789,47668
1706346509881,47235
1706346509975,46720
1706346510069,47610
1706346510163,48894
1706346510257,49653
1706346510351,50725
1706346510445,50872
1706346510539,51246
1706346510633,51507
1706346510726,51249
1706346510820,51256
1706346510914,51919
1706346511008,52723
1706346511103,53141
1706346511196,52994
1706346511290,53266
1706346511384,54057
1706346511478,54421
1706346511571,54583
1706346511665,54470
1706346511760,54013
1706346511853,53638
1706346511947,53879
1706346512041,53996
1706346512135,53348
1706346512229,52537
1706346512323,52547
1706346512417,52565
1706346512511,52566
1706346512605,52556
1706346512699,52554
1706346512793,52553
1706346512887,52555
1706346512981,52562
1706346513074,52562
1706346513375,52556
1706346513469,52556
1706346513563,52557
1706346513657,52554
1706346513751,52552
1706346513845,52552
1706346513939,52552
1706346514033,52553
1706346514126,52553
1706346514220,52552
1706346514314,52552
1706346514408,52553
1706346514502,52548
1706346514596,52550
1706346514690,52553
1706346514784,52553
1706346514878,52553
1706346514972,52552
1706346515066,52555
1706346515160,52552
1706346515254,52550
1706346515347,52552
1706346515442,52557
1706346515535,52552
1706346515629,52551
1706346515724,52552
1706346515817,52548
1706346515911,52545
1706346516005,52551
1706346516099,52554
1706346516193,52552
1706346516287,52534
1706346516380,52397
1706346516475,52316
1706346516569,52426
1706346516662,52666
1706346516757,52928
1706346516850,53648
1706346516944,54686
1706346517038,56892
